,wrname,row,col,cell_acres,wr_acres,pct_cell_irr
0,478-481,204,49,3.2703567,221.9360046,0.4709314
1,478-481,205,48,0.7184017,221.9360046,0.1034499
2,478-481,205,49,4.370255,221.9360046,0.6293167
3,478-481,206,48,3.8008597,221.9360046,0.5473238
4,478-481,206,49,1.1400307,221.9360046,0.1641644
5,478-481,207,47,0.8484324,221.9360046,0.1221743
6,478-481,207,48,4.826335,221.9360046,0.6949922
7,478-481,207,49,0.0769365,221.9360046,0.0110789
8,478-481,208,46,0.8747819,221.9360046,0.1259686
9,478-481,208,47,6.2667923,221.9360046,0.9024181
10,478-481,208,48,1.9692948,221.9360046,0.2835785
11,478-481,209,45,1.2701671,221.9360046,0.1829041
12,478-481,209,46,5.683332,221.9360046,0.8183998
13,478-481,209,47,1.7895279,221.9360046,0.257692
14,478-481,210,40,0.0892714,221.9360046,0.0128551
15,478-481,210,41,0.2262727,221.9360046,0.0325833
16,478-481,210,44,1.1807705,221.9360046,0.170031
17,478-481,210,45,5.7520728,221.9360046,0.8282985
18,478-481,210,46,1.4758669,221.9360046,0.2125248
19,478-481,211,40,0.6387561,221.9360046,0.0919809
20,478-481,211,41,6.0253882,221.9360046,0.8676559
21,478-481,211,42,4.4295273,221.9360046,0.637852
22,478-481,211,43,4.7913055,221.9360046,0.689948
23,478-481,211,44,6.0824299,221.9360046,0.8758699
24,478-481,211,45,1.3246332,221.9360046,0.1907472
25,478-481,212,40,1.5872968,221.9360046,0.2285707
26,478-481,212,41,6.9444447,221.9360046,1.0
27,478-481,212,42,6.9444447,221.9360046,1.0
28,478-481,212,43,6.9329271,221.9360046,0.9983415
29,478-481,212,44,2.0292966,221.9360046,0.2922187
30,478-481,213,39,0.0060847,221.9360046,0.0008762
31,478-481,213,40,4.131053,221.9360046,0.5948716
32,478-481,213,41,6.9444447,221.9360046,1.0
33,478-481,213,42,6.9444447,221.9360046,1.0
34,478-481,213,43,4.1531334,221.9360046,0.5980512
35,478-481,214,39,2.8244195,221.9360046,0.4067164
36,478-481,214,40,6.9444447,221.9360046,1.0
37,478-481,214,41,6.9444447,221.9360046,1.0
38,478-481,214,42,6.9444447,221.9360046,1.0
39,478-481,214,43,1.340203,221.9360046,0.1929892
40,478-481,215,39,5.3079515,221.9360046,0.764345
41,478-481,215,40,6.9444447,221.9360046,1.0
42,478-481,215,41,6.9444447,221.9360046,1.0
43,478-481,215,42,6.3962817,221.9360046,0.9210646
44,478-481,215,43,0.0162482,221.9360046,0.0023397
45,478-481,216,38,2.2700722,221.9360046,0.3268904
46,478-481,216,39,6.940671,221.9360046,0.9994566
47,478-481,216,40,6.9444447,221.9360046,1.0
